,j_d,g_d,h_d,events,event,calender_type
534,"(1397, 3, 14)",2018-06-04,"(1439, 9, 20)",رحلت حضرت امام خمینی,رحلت حضرت امام خمینی,j
535,"(1397, 3, 14)",2018-06-04,"(1439, 9, 20)",ضربت خوردن حضرت علی علیه السلام [١٩ رمضان],ضربت خوردن حضرت علی علیه السلام,h
536,"(1397, 3, 15)",2018-06-05,"(1439, 9, 21)",قیام ۱۵,قیام ۱۵,j
537,"(1397, 3, 15)",2018-06-05,"(1439, 9, 21)",روز جهانی محیط زیست [۵ june],روز جهانی محیط زیست,g
538,"(1397, 3, 16)",2018-06-06,"(1439, 9, 22)",شهادت حضرت علی علیه السلام [٢١ رمضان],شهادت حضرت علی علیه السلام,h
539,"(1397, 3, 17)",2018-06-07,"(1439, 9, 23)",شب قدر [٢٢ رمضان],شب قدر,h
540,"(1397, 3, 20)",2018-06-10,"(1439, 9, 26)",روز جهانی صنایع دستی [۱۰ june],روز جهانی صنایع دستی,g
541,"(1397, 3, 22)",2018-06-12,"(1439, 9, 28)",روز جهانی مبارزه با کار کودکان [۱۲ june],روز جهانی مبارزه با کار کودکان,g
542,"(1397, 3, 24)",2018-06-14,"(1439, 9, 30)",روز جهانی اهدای خون [۱۴ june],روز جهانی اهدای خون,g
543,"(1397, 3, 25)",2018-06-15,"(1439, 10, 1)",روز ملی گل وگیاه,روز ملی گل وگیاه,j
544,"(1397, 3, 25)",2018-06-15,"(1439, 10, 1)",عید سعید فطر [١ شوال],عید سعید فطر,h
545,"(1397, 3, 26)",2018-06-16,"(1439, 10, 2)",تعطیل به مناسبت عید سعید فطر [٢ شوال],تعطیل به مناسبت عید سعید فطر,h
546,"(1397, 3, 27)",2018-06-17,"(1439, 10, 3)",روز جهاد کشاورزی,روز جهاد کشاورزی,j
547,"(1397, 3, 27)",2018-06-17,"(1439, 10, 3)",روز جهانی بیابان زدایی [۱۷ june],روز جهانی بیابان زدایی,g
548,"(1397, 8, 1)",2018-10-23,"(1440, 2, 14)",روز آمار و برنامه ریزی,روز آمار و برنامه ریزی,j
549,"(1397, 8, 7)",2018-10-29,"(1440, 2, 20)",سالروز ورود کوروش بزرگ به بابل در سال ۵۳۹ پیش از میلاد,سالروز ورود کوروش بزرگ به بابل در سال ۵۳۹ پیش از میلاد,j
550,"(1397, 8, 8)",2018-10-30,"(1440, 2, 21)",روز نوجوان,روز نوجوان,j
551,"(1397, 8, 8)",2018-10-30,"(1440, 2, 21)",اربعین حسینی [٢٠ صفر],اربعین حسینی,h
552,"(1397, 8, 10)",2018-11-01,"(1440, 2, 23)",روز، جشن آبانگان,روز، جشن آبانگان,j
553,"(1397, 8, 13)",2018-11-04,"(1440, 2, 26)",روز دانش آموز,روز دانش آموز,j
554,"(1397, 8, 14)",2018-11-05,"(1440, 2, 27)",روز فرهنگ عمومی,روز فرهنگ عمومی,j
555,"(1397, 8, 15)",2018-11-06,"(1440, 2, 28)",جشن میانه پاییز,جشن میانه پاییز,j
556,"(1397, 8, 16)",2018-11-07,"(1440, 2, 29)",رحلت رسول اکرم؛ شهادت امام حسن مجتبی علیه السلام [٢٨ صفر],رحلت رسول اکرم؛ شهادت امام حسن مجتبی علیه السلام,h
557,"(1397, 8, 17)",2018-11-08,"(1440, 2, 30)",شهادت امام رضا علیه السلام [٢٩ صفر],شهادت امام رضا علیه السلام,h
558,"(1397, 8, 18)",2018-11-09,"(1440, 3, 1)",روز ملی کیفیت,روز ملی کیفیت,j
559,"(1397, 8, 18)",2018-11-09,"(1440, 3, 1)",هجرت پیامبر اکرم از مکه به مدینه [١ ربیع الاول],هجرت پیامبر اکرم از مکه به مدینه,h
560,"(1397, 8, 23)",2018-11-14,"(1440, 3, 6)",روز جهانی دیابت [۱۴ november],روز جهانی دیابت,g
561,"(1397, 8, 24)",2018-11-15,"(1440, 3, 7)",روز کتاب و کتابخوانی,روز کتاب و کتابخوانی,j
562,"(1397, 8, 25)",2018-11-16,"(1440, 3, 8)",شهادت امام حسن عسکری علیه السلام [٨ ربیع الاول],شهادت امام حسن عسکری علیه السلام,h
563,"(1397, 8, 28)",2018-11-19,"(1440, 3, 11)",روز جهانی فلسفه [۱۹ november],روز جهانی فلسفه,g
564,"(1397, 8, 28)",2018-11-19,"(1440, 3, 11)",روز جهانی آقایان [۱۹ november],روز جهانی آقایان,g
565,"(1397, 8, 29)",2018-11-20,"(1440, 3, 12)",میلاد رسول اکرم به روایت اهل سنت [١٢ ربیع الاول],میلاد رسول اکرم به روایت اهل سنت,h
566,"(1397, 8, 29)",2018-11-20,"(1440, 3, 12)",روز جهانی کودک [۲۰ november],روز جهانی کودک,g
567,"(1397, 5, 3)",2018-07-25,"(1439, 11, 12)",امرداد ولادت امام رضا علیه السلام [١١ ذوالقعده],امرداد ولادت امام رضا علیه السلام,h
568,"(1397, 5, 6)",2018-07-28,"(1439, 11, 15)",امرداد روز ترویج آموزش‌های فنی و حرفه‌ای,امرداد روز ترویج آموزش‌های فنی و حرفه‌ای,j
569,"(1397, 5, 7)",2018-07-29,"(1439, 11, 16)",امرداد روز، جشن مردادگان,امرداد روز، جشن مردادگان,j
570,"(1397, 5, 8)",2018-07-30,"(1439, 11, 17)",امرداد روز بزرگداشت شیخ شهاب الدین سهروردی,امرداد روز بزرگداشت شیخ شهاب الدین سهروردی,j
571,"(1397, 5, 10)",2018-08-01,"(1439, 11, 19)",امرداد جشن چله تابستان,امرداد جشن چله تابستان,j
572,"(1397, 5, 10)",2018-08-01,"(1439, 11, 19)",امرداد آغاز هفته جهانی شیردهی [۱ august],امرداد آغاز هفته جهانی شیردهی,g
573,"(1397, 5, 14)",2018-08-05,"(1439, 11, 23)",امرداد صدور فرمان مشروطیت,امرداد صدور فرمان مشروطیت,j
574,"(1397, 5, 17)",2018-08-08,"(1439, 11, 26)",امرداد روز خبرنگار,امرداد روز خبرنگار,j
