,j_d,g_d,h_d,events,event,calender_type
0,"(1394, 11, 1)",2016-01-21,"(1437, 4, 11)",زادروز فردوسی,زادروز فردوسی,j
1,"(1394, 11, 1)",2016-01-21,"(1437, 4, 11)",وفات حضرت معصومه سلام الله علیها [١٠ ربیع الثانی],وفات حضرت معصومه سلام الله علیها,h
2,"(1394, 11, 2)",2016-01-22,"(1437, 4, 12)",روز، جشن بهمنگان,روز، جشن بهمنگان,j
3,"(1394, 11, 5)",2016-01-25,"(1437, 4, 15)",جشن نوسره,جشن نوسره,j
4,"(1394, 11, 10)",2016-01-30,"(1437, 4, 20)",جشن سده,جشن سده,j
5,"(1394, 11, 12)",2016-02-01,"(1437, 4, 22)",بازگشت امام خمینی (ره) به ایران,بازگشت امام خمینی (ره) به ایران,j
6,"(1394, 11, 15)",2016-02-04,"(1437, 4, 25)",جشن میانه زمستان,جشن میانه زمستان,j
7,"(1394, 11, 19)",2016-02-08,"(1437, 4, 29)",روز نیروی هوایی,روز نیروی هوایی,j
8,"(1394, 11, 22)",2016-02-11,"(1437, 5, 2)",پیروزی انقلاب اسلامی,پیروزی انقلاب اسلامی,j
9,"(1394, 11, 22)",2016-02-11,"(1437, 5, 2)",حمله به سفارت روسیه و قتل گریبایدوف سفیر روسیه تزاری در ایران [۱۱ february],حمله به سفارت روسیه و قتل گریبایدوف سفیر روسیه تزاری در ایران,g
10,"(1394, 11, 23)",2016-02-12,"(1437, 5, 3)",زادروز چارلز داروین بنیانگذار نظریه‌ی فرگشت از طریق انتخاب طبیعی [۱۲ february],زادروز چارلز داروین بنیانگذار نظریه‌ی فرگشت از طریق انتخاب طبیعی,g
11,"(1394, 11, 25)",2016-02-14,"(1437, 5, 5)",ولادت حضرت زینب سلام الله علیها و روز پرستار و بهورز [٥ جمادی الاولی],ولادت حضرت زینب سلام الله علیها و روز پرستار و بهورز,h
12,"(1394, 11, 25)",2016-02-14,"(1437, 5, 5)",روز ولنتاین [۱۴ february],روز ولنتاین,g
13,"(1394, 11, 29)",2016-02-18,"(1437, 5, 9)",جشن سپندارمذگان و روز عشق,جشن سپندارمذگان و روز عشق,j
14,"(1394, 10, 1)",2015-12-22,"(1437, 3, 11)",روز میلاد خورشید؛ جشن خرم روز، نخستین جشن دیگان,روز میلاد خورشید؛ جشن خرم روز، نخستین جشن دیگان,j
15,"(1394, 10, 3)",2015-12-24,"(1437, 3, 13)",میلاد رسول اکرم به روایت اهل سنت [١٢ ربیع الاول],میلاد رسول اکرم به روایت اهل سنت,h
16,"(1394, 10, 4)",2015-12-25,"(1437, 3, 14)",جشن کریسمس [۲۵ december],جشن کریسمس,g
17,"(1394, 10, 5)",2015-12-26,"(1437, 3, 15)",سالروز زمین لرزه‌ی بم در سال ۱۳۸۲,سالروز زمین لرزه‌ی بم در سال ۱۳۸۲,j
18,"(1394, 10, 5)",2015-12-26,"(1437, 3, 15)",سالروز شهادت آشو زرتشت، ابرانسان بزرگ تاریخ,سالروز شهادت آشو زرتشت، ابرانسان بزرگ تاریخ,j
19,"(1394, 10, 8)",2015-12-29,"(1437, 3, 18)",به روز، دومین جشن دیگان,به روز، دومین جشن دیگان,j
20,"(1394, 10, 8)",2015-12-29,"(1437, 3, 18)",میلاد رسول اکرم و امام جعفر صادق علیه السلام [١٧ ربیع الاول],میلاد رسول اکرم و امام جعفر صادق علیه السلام,h
21,"(1394, 10, 11)",2016-01-01,"(1437, 3, 21)",جشن آغاز سال نو میلادی [۱ january],جشن آغاز سال نو میلادی,g
22,"(1394, 10, 15)",2016-01-05,"(1437, 3, 25)",به روز، سومین جشن دیگان,به روز، سومین جشن دیگان,j
23,"(1394, 10, 20)",2016-01-10,"(1437, 3, 30)",قتل امیرکبیر به دستور ناصرالدین شاه قاجار,قتل امیرکبیر به دستور ناصرالدین شاه قاجار,j
24,"(1394, 10, 23)",2016-01-13,"(1437, 4, 3)",به دین روز، چهارمین جشن دیگان,به دین روز، چهارمین جشن دیگان,j
25,"(1394, 10, 27)",2016-01-17,"(1437, 4, 7)",اجرای توافق نامه‌ی برجام,اجرای توافق نامه‌ی برجام,j
26,"(1394, 10, 29)",2016-01-19,"(1437, 4, 9)",ولادت امام حسن عسکری علیه السلام [٨ ربیع الثانی],ولادت امام حسن عسکری علیه السلام,h
27,"(1394, 12, 2)",2016-02-21,"(1437, 5, 12)",روز جهانی زبان مادری [۲۱ february],روز جهانی زبان مادری,g
28,"(1394, 12, 5)",2016-02-24,"(1437, 5, 15)",روز بزرگداشت زمین و بانوان,روز بزرگداشت زمین و بانوان,j
29,"(1394, 12, 5)",2016-02-24,"(1437, 5, 15)",روز بزرگداشت خواجه نصیر الدین طوسی و روز مهندس,روز بزرگداشت خواجه نصیر الدین طوسی و روز مهندس,j
30,"(1394, 12, 7)",2016-02-26,"(1437, 5, 17)",سالروز استقلال کانون وکلای دادگستری و روز وکیل مدافع,سالروز استقلال کانون وکلای دادگستری و روز وکیل مدافع,j
31,"(1394, 12, 7)",2016-02-26,"(1437, 5, 17)",سالروز درگذشت علی اکبر دهخدا,سالروز درگذشت علی اکبر دهخدا,j
32,"(1394, 12, 15)",2016-03-05,"(1437, 5, 25)",روز درختکاری,روز درختکاری,j
33,"(1394, 12, 18)",2016-03-08,"(1437, 5, 28)",روزجهانی زنان [۸ march],روزجهانی زنان,g
34,"(1394, 12, 23)",2016-03-13,"(1437, 6, 4)",شهادت حضرت فاطمه زهرا سلام الله علیها [٣ جمادی الثانیه],شهادت حضرت فاطمه زهرا سلام الله علیها,h
35,"(1394, 12, 25)",2016-03-15,"(1437, 6, 6)",پایان سرایش شاهنامه,پایان سرایش شاهنامه,j
36,"(1394, 12, 29)",2016-03-19,"(1437, 6, 10)",روز ملی شدن صنعت نفت ایران,روز ملی شدن صنعت نفت ایران,j
37,"(1395, 8, 1)",2016-10-22,"(1438, 1, 21)",روز آمار و برنامه ریزی,روز آمار و برنامه ریزی,j
38,"(1395, 8, 7)",2016-10-28,"(1438, 1, 27)",سالروز ورود کوروش بزرگ به بابل در سال ۵۳۹ پیش از میلاد,سالروز ورود کوروش بزرگ به بابل در سال ۵۳۹ پیش از میلاد,j
39,"(1395, 8, 8)",2016-10-29,"(1438, 1, 28)",روز نوجوان,روز نوجوان,j
40,"(1395, 8, 10)",2016-10-31,"(1438, 1, 30)",روز، جشن آبانگان,روز، جشن آبانگان,j
41,"(1395, 8, 13)",2016-11-03,"(1438, 2, 3)",روز دانش آموز,روز دانش آموز,j
42,"(1395, 8, 14)",2016-11-04,"(1438, 2, 4)",روز فرهنگ عمومی,روز فرهنگ عمومی,j
43,"(1395, 8, 15)",2016-11-05,"(1438, 2, 5)",جشن میانه پاییز,جشن میانه پاییز,j
44,"(1395, 8, 18)",2016-11-08,"(1438, 2, 8)",روز ملی کیفیت,روز ملی کیفیت,j
45,"(1395, 8, 24)",2016-11-14,"(1438, 2, 14)",روز کتاب و کتابخوانی,روز کتاب و کتابخوانی,j
46,"(1395, 8, 24)",2016-11-14,"(1438, 2, 14)",روز جهانی دیابت [۱۴ november],روز جهانی دیابت,g
47,"(1395, 8, 29)",2016-11-19,"(1438, 2, 19)",روز جهانی فلسفه [۱۹ november],روز جهانی فلسفه,g
48,"(1395, 8, 29)",2016-11-19,"(1438, 2, 19)",روز جهانی آقایان [۱۹ november],روز جهانی آقایان,g
49,"(1395, 8, 30)",2016-11-20,"(1438, 2, 20)",اربعین حسینی [٢٠ صفر],اربعین حسینی,h
50,"(1395, 8, 30)",2016-11-20,"(1438, 2, 20)",روز جهانی کودک [۲۰ november],روز جهانی کودک,g
51,"(1395, 9, 1)",2016-11-21,"(1438, 2, 21)",جشن,جشن,j
52,"(1395, 9, 5)",2016-11-25,"(1438, 2, 25)",روز بسیج مستضعفان,روز بسیج مستضعفان,j
53,"(1395, 9, 5)",2016-11-25,"(1438, 2, 25)",روز جهانی مبارزه با خشونت علیه زنان [۲۵ november],روز جهانی مبارزه با خشونت علیه زنان,g
54,"(1395, 9, 7)",2016-11-27,"(1438, 2, 27)",روز نیروی دریایی,روز نیروی دریایی,j
55,"(1395, 9, 8)",2016-11-28,"(1438, 2, 28)",رحلت رسول اکرم؛ شهادت امام حسن مجتبی علیه السلام [٢٨ صفر],رحلت رسول اکرم؛ شهادت امام حسن مجتبی علیه السلام,h
56,"(1395, 9, 9)",2016-11-29,"(1438, 2, 29)",جشن آذرگان، روز,جشن آذرگان، روز,j
57,"(1395, 9, 10)",2016-11-30,"(1438, 3, 1)",روز مجلس,روز مجلس,j
58,"(1395, 9, 10)",2016-11-30,"(1438, 3, 1)",شهادت امام رضا علیه السلام [٣٠ صفر],شهادت امام رضا علیه السلام,h
59,"(1395, 9, 11)",2016-12-01,"(1438, 3, 2)",هجرت پیامبر اکرم از مکه به مدینه [١ ربیع الاول],هجرت پیامبر اکرم از مکه به مدینه,h
60,"(1395, 9, 11)",2016-12-01,"(1438, 3, 2)",روز جهانی ایدز [۱ december],روز جهانی ایدز,g
61,"(1395, 9, 13)",2016-12-03,"(1438, 3, 4)",روز بیمه,روز بیمه,j
62,"(1395, 9, 13)",2016-12-03,"(1438, 3, 4)",روز جهانی معلولان [۳ december],روز جهانی معلولان,g
63,"(1395, 9, 15)",2016-12-05,"(1438, 3, 6)",روز حسابدار,روز حسابدار,j
64,"(1395, 9, 16)",2016-12-06,"(1438, 3, 7)",روز دانشجو,روز دانشجو,j
65,"(1395, 9, 17)",2016-12-07,"(1438, 3, 8)",درگذشت الی دوکامن، فعال صلح، برندهٔ جایزه صلح نوبل سال ۱۹۰۲ به‌همراه چارلز آلبرت گوبات [۷ december],درگذشت الی دوکامن، فعال صلح، برندهٔ جایزه صلح نوبل سال ۱۹۰۲ به‌همراه چارلز آلبرت گوبات,g
66,"(1395, 9, 18)",2016-12-08,"(1438, 3, 9)",شهادت امام حسن عسکری علیه السلام [٨ ربیع الاول],شهادت امام حسن عسکری علیه السلام,h
67,"(1395, 9, 21)",2016-12-11,"(1438, 3, 12)",روز جهانی کوه نوردی [۱۱ december],روز جهانی کوه نوردی,g
68,"(1395, 9, 22)",2016-12-12,"(1438, 3, 13)",میلاد رسول اکرم به روایت اهل سنت [١٢ ربیع الاول],میلاد رسول اکرم به روایت اهل سنت,h
69,"(1395, 9, 25)",2016-12-15,"(1438, 3, 16)",روز پژوهش,روز پژوهش,j
70,"(1395, 9, 26)",2016-12-16,"(1438, 3, 17)",روز حمل و نقل,روز حمل و نقل,j
71,"(1395, 9, 27)",2016-12-17,"(1438, 3, 18)",میلاد رسول اکرم و امام جعفر صادق علیه السلام [١٧ ربیع الاول],میلاد رسول اکرم و امام جعفر صادق علیه السلام,h
72,"(1395, 9, 30)",2016-12-20,"(1438, 3, 21)",جشن شب یلدا,جشن شب یلدا,j
73,"(1395, 10, 1)",2016-12-21,"(1438, 3, 22)",روز میلاد خورشید؛ جشن خرم روز، نخستین جشن دیگان,روز میلاد خورشید؛ جشن خرم روز، نخستین جشن دیگان,j
74,"(1395, 10, 5)",2016-12-25,"(1438, 3, 26)",سالروز زمین لرزه‌ی بم در سال ۱۳۸۲,سالروز زمین لرزه‌ی بم در سال ۱۳۸۲,j
75,"(1395, 10, 5)",2016-12-25,"(1438, 3, 26)",جشن کریسمس [۲۵ december],جشن کریسمس,g
76,"(1395, 10, 5)",2016-12-25,"(1438, 3, 26)",سالروز شهادت آشو زرتشت، ابرانسان بزرگ تاریخ,سالروز شهادت آشو زرتشت، ابرانسان بزرگ تاریخ,j
77,"(1395, 10, 8)",2016-12-28,"(1438, 3, 29)",به روز، دومین جشن دیگان,به روز، دومین جشن دیگان,j
78,"(1395, 10, 12)",2017-01-01,"(1438, 4, 3)",جشن آغاز سال نو میلادی [۱ january],جشن آغاز سال نو میلادی,g
79,"(1395, 10, 15)",2017-01-04,"(1438, 4, 6)",به روز، سومین جشن دیگان,به روز، سومین جشن دیگان,j
80,"(1395, 10, 18)",2017-01-07,"(1438, 4, 9)",ولادت امام حسن عسکری علیه السلام [٨ ربیع الثانی],ولادت امام حسن عسکری علیه السلام,h
81,"(1395, 10, 19)",2017-01-08,"(1438, 4, 10)",درگذشت اکبر هاشمی رفسنجانی,درگذشت اکبر هاشمی رفسنجانی,j
82,"(1395, 10, 20)",2017-01-09,"(1438, 4, 11)",وفات حضرت معصومه سلام الله علیها [١٠ ربیع الثانی],وفات حضرت معصومه سلام الله علیها,h
83,"(1395, 10, 20)",2017-01-09,"(1438, 4, 11)",قتل امیرکبیر به دستور ناصرالدین شاه قاجار,قتل امیرکبیر به دستور ناصرالدین شاه قاجار,j
84,"(1395, 10, 23)",2017-01-12,"(1438, 4, 14)",به دین روز، چهارمین جشن دیگان,به دین روز، چهارمین جشن دیگان,j
85,"(1395, 10, 30)",2017-01-19,"(1438, 4, 21)",آتش‌سوزی و فروریختن ساختمان پلاسکو,آتش‌سوزی و فروریختن ساختمان پلاسکو,j
86,"(1395, 11, 1)",2017-01-20,"(1438, 4, 22)",زادروز فردوسی,زادروز فردوسی,j
87,"(1395, 11, 2)",2017-01-21,"(1438, 4, 23)",روز، جشن بهمنگان,روز، جشن بهمنگان,j
88,"(1395, 11, 5)",2017-01-24,"(1438, 4, 26)",جشن نوسره,جشن نوسره,j
89,"(1395, 11, 10)",2017-01-29,"(1438, 5, 1)",جشن سده,جشن سده,j
90,"(1395, 11, 12)",2017-01-31,"(1438, 5, 3)",بازگشت امام خمینی (ره) به ایران,بازگشت امام خمینی (ره) به ایران,j
91,"(1395, 11, 15)",2017-02-03,"(1438, 5, 6)",جشن میانه زمستان,جشن میانه زمستان,j
92,"(1395, 11, 15)",2017-02-03,"(1438, 5, 6)",ولادت حضرت زینب سلام الله علیها و روز پرستار و بهورز [٥ جمادی الاولی],ولادت حضرت زینب سلام الله علیها و روز پرستار و بهورز,h
93,"(1395, 11, 19)",2017-02-07,"(1438, 5, 10)",روز نیروی هوایی,روز نیروی هوایی,j
94,"(1395, 11, 22)",2017-02-10,"(1438, 5, 13)",پیروزی انقلاب اسلامی,پیروزی انقلاب اسلامی,j
95,"(1395, 11, 23)",2017-02-11,"(1438, 5, 14)",حمله به سفارت روسیه و قتل گریبایدوف سفیر روسیه تزاری در ایران [۱۱ february],حمله به سفارت روسیه و قتل گریبایدوف سفیر روسیه تزاری در ایران,g
96,"(1395, 11, 24)",2017-02-12,"(1438, 5, 15)",زادروز چارلز داروین بنیانگذار نظریه‌ی فرگشت از طریق انتخاب طبیعی [۱۲ february],زادروز چارلز داروین بنیانگذار نظریه‌ی فرگشت از طریق انتخاب طبیعی,g
97,"(1395, 11, 26)",2017-02-14,"(1438, 5, 17)",روز ولنتاین [۱۴ february],روز ولنتاین,g
98,"(1395, 11, 29)",2017-02-17,"(1438, 5, 20)",جشن سپندارمذگان و روز عشق,جشن سپندارمذگان و روز عشق,j
99,"(1395, 12, 3)",2017-02-21,"(1438, 5, 24)",روز جهانی زبان مادری [۲۱ february],روز جهانی زبان مادری,g
100,"(1395, 12, 5)",2017-02-23,"(1438, 5, 26)",روز بزرگداشت زمین و بانوان,روز بزرگداشت زمین و بانوان,j
101,"(1395, 12, 5)",2017-02-23,"(1438, 5, 26)",روز بزرگداشت خواجه نصیر الدین طوسی و روز مهندس,روز بزرگداشت خواجه نصیر الدین طوسی و روز مهندس,j
102,"(1395, 12, 7)",2017-02-25,"(1438, 5, 28)",سالروز استقلال کانون وکلای دادگستری و روز وکیل مدافع,سالروز استقلال کانون وکلای دادگستری و روز وکیل مدافع,j
103,"(1395, 12, 7)",2017-02-25,"(1438, 5, 28)",سالروز درگذشت علی اکبر دهخدا,سالروز درگذشت علی اکبر دهخدا,j
104,"(1395, 12, 12)",2017-03-02,"(1438, 6, 3)",شهادت حضرت فاطمه زهرا سلام الله علیها [٣ جمادی الثانیه],شهادت حضرت فاطمه زهرا سلام الله علیها,h
105,"(1395, 12, 15)",2017-03-05,"(1438, 6, 6)",روز درختکاری,روز درختکاری,j
106,"(1395, 12, 18)",2017-03-08,"(1438, 6, 9)",روزجهانی زنان [۸ march],روزجهانی زنان,g
107,"(1395, 12, 25)",2017-03-15,"(1438, 6, 16)",پایان سرایش شاهنامه,پایان سرایش شاهنامه,j
108,"(1395, 12, 29)",2017-03-19,"(1438, 6, 20)",روز ملی شدن صنعت نفت ایران,روز ملی شدن صنعت نفت ایران,j
109,"(1395, 12, 29)",2017-03-19,"(1438, 6, 20)",ولادت حضرت فاطمه زهرا سلام الله علیها و روز مادر [٢٠ جمادی الثانیه],ولادت حضرت فاطمه زهرا سلام الله علیها و روز مادر,h
110,"(1395, 12, 30)",2017-03-20,"(1438, 6, 21)",آخرین روز سال,آخرین روز سال,j
111,"(1395, 12, 30)",2017-03-20,"(1438, 6, 21)",روز جهانی شادی [۲۰ march],روز جهانی شادی,g
112,"(1395, 7, 1)",2016-09-22,"(1437, 12, 21)",ولادت امام موسی کاظم علیه السلام [٢٠ ذوالحجه],ولادت امام موسی کاظم علیه السلام,h
113,"(1395, 7, 1)",2016-09-22,"(1437, 12, 21)",آغاز حمله مغول به ایران در پاییز ۵۹۸ خورشیدی,آغاز حمله مغول به ایران در پاییز ۵۹۸ خورشیدی,j
114,"(1395, 7, 6)",2016-09-27,"(1437, 12, 26)",روز جهانی جهانگردی [۲۷ september],روز جهانی جهانگردی,g
115,"(1395, 7, 7)",2016-09-28,"(1437, 12, 27)",روز آتش نشانی و ایمنی,روز آتش نشانی و ایمنی,j
116,"(1395, 7, 7)",2016-09-28,"(1437, 12, 27)",سقوط هواپیمای حامل جمعی از فرماندهان جنگ (کلاهدوز، نامجو، فلاحی، فکوری، جهان آرا) در سال ۱۳۶۰,سقوط هواپیمای حامل جمعی از فرماندهان جنگ (کلاهدوز، نامجو، فلاحی، فکوری، جهان آرا) در سال ۱۳۶۰,j
117,"(1395, 7, 8)",2016-09-29,"(1437, 12, 28)",روزبزرگداشت مولوی,روزبزرگداشت مولوی,j
118,"(1395, 7, 9)",2016-09-30,"(1437, 12, 29)",روز جهانی ناشنوایان [۳۰ september],روز جهانی ناشنوایان,g
119,"(1395, 7, 9)",2016-09-30,"(1437, 12, 29)",روز جهانی ترجمه و مترجم [۳۰ september],روز جهانی ترجمه و مترجم,g
120,"(1395, 7, 10)",2016-10-01,"(1437, 12, 30)",روز، جشن مهرگان,روز، جشن مهرگان,j
121,"(1395, 7, 10)",2016-10-01,"(1437, 12, 30)",روز جهانی سالمندان [۱ october],روز جهانی سالمندان,g
122,"(1395, 7, 13)",2016-10-04,"(1438, 1, 3)",روز نیروی انتظامی,روز نیروی انتظامی,j
123,"(1395, 7, 14)",2016-10-05,"(1438, 1, 4)",روز دامپزشکی,روز دامپزشکی,j
124,"(1395, 7, 14)",2016-10-05,"(1438, 1, 4)",روز جهانی معلم [۵ october],روز جهانی معلم,g
125,"(1395, 7, 16)",2016-10-07,"(1438, 1, 6)",روز ملی کودک,روز ملی کودک,j
126,"(1395, 7, 18)",2016-10-09,"(1438, 1, 8)",روز جهانی پست [۹ october],روز جهانی پست,g
127,"(1395, 7, 19)",2016-10-10,"(1438, 1, 9)",روز جهانی مبارزه با حکم اعدام [۱۰ october],روز جهانی مبارزه با حکم اعدام,g
128,"(1395, 7, 20)",2016-10-11,"(1438, 1, 10)",روز بزرگداشت حافظ,روز بزرگداشت حافظ,j
129,"(1395, 7, 20)",2016-10-11,"(1438, 1, 10)",تاسوعای حسینی [٩ محرم],تاسوعای حسینی,h
130,"(1395, 7, 20)",2016-10-11,"(1438, 1, 10)",روز جهانی دختر [۱۱ october],روز جهانی دختر,g
131,"(1395, 7, 21)",2016-10-12,"(1438, 1, 11)",جشن پیروزی کاوه و فریدون,جشن پیروزی کاوه و فریدون,j
132,"(1395, 7, 21)",2016-10-12,"(1438, 1, 11)",عاشورای حسینی [١٠ محرم],عاشورای حسینی,h
133,"(1395, 7, 23)",2016-10-14,"(1438, 1, 13)",روز جهانی استاندارد [۱۴ october],روز جهانی استاندارد,g
134,"(1395, 7, 23)",2016-10-14,"(1438, 1, 13)",شهادت امام زین العابدین علیه السلام [١٢ محرم],شهادت امام زین العابدین علیه السلام,h
135,"(1395, 7, 24)",2016-10-15,"(1438, 1, 14)",روز جهانی عصای سفید [۱۵ october],روز جهانی عصای سفید,g
136,"(1395, 7, 25)",2016-10-16,"(1438, 1, 15)",روز جهانی غذا [۱۶ october],روز جهانی غذا,g
137,"(1395, 7, 26)",2016-10-17,"(1438, 1, 16)",روز تربیت بدنی و ورزش,روز تربیت بدنی و ورزش,j
138,"(1395, 7, 26)",2016-10-17,"(1438, 1, 16)",روز جهانی ریشه کنی فقر [۱۷ october],روز جهانی ریشه کنی فقر,g
139,"(1395, 7, 29)",2016-10-20,"(1438, 1, 19)",روز ملی کوهنورد,روز ملی کوهنورد,j
140,"(1395, 6, 1)",2016-08-22,"(1437, 11, 19)",روز بزرگداشت ابوعلی سینا و روز پزشک,روز بزرگداشت ابوعلی سینا و روز پزشک,j
141,"(1395, 6, 2)",2016-08-23,"(1437, 11, 20)",آغاز هفته دولت,آغاز هفته دولت,j
142,"(1395, 6, 4)",2016-08-25,"(1437, 11, 22)",زادروز داراب (کوروش),زادروز داراب (کوروش),j
143,"(1395, 6, 4)",2016-08-25,"(1437, 11, 22)",روز، جشن شهریورگان,روز، جشن شهریورگان,j
144,"(1395, 6, 4)",2016-08-25,"(1437, 11, 22)",روز کارمند,روز کارمند,j
145,"(1395, 6, 5)",2016-08-26,"(1437, 11, 23)",روز بزرگداشت محمدبن زکریای رازی و روز داروساز,روز بزرگداشت محمدبن زکریای رازی و روز داروساز,j
146,"(1395, 6, 8)",2016-08-29,"(1437, 11, 26)",انفجار در دفتر نخست‌وزیری جمهوری اسلامی ایران، روز مبارزه با تروریسم,انفجار در دفتر نخست‌وزیری جمهوری اسلامی ایران، روز مبارزه با تروریسم,j
147,"(1395, 6, 11)",2016-09-01,"(1437, 11, 29)",روزصنعت چاپ,روزصنعت چاپ,j
148,"(1395, 6, 12)",2016-09-02,"(1437, 12, 1)",شهادت امام محمد تقی علیه السلام [٣٠ ذوالقعده],شهادت امام محمد تقی علیه السلام,h
149,"(1395, 6, 13)",2016-09-03,"(1437, 12, 2)",روز بزرگداشت ابوریحان بیرونی,روز بزرگداشت ابوریحان بیرونی,j
150,"(1395, 6, 13)",2016-09-03,"(1437, 12, 2)",روز تعاون,روز تعاون,j
151,"(1395, 6, 17)",2016-09-07,"(1437, 12, 6)",قیام ۱۷,قیام ۱۷,j
152,"(1395, 6, 19)",2016-09-09,"(1437, 12, 8)",درگذشت آیت الله سید محمود طالقانی,درگذشت آیت الله سید محمود طالقانی,j
153,"(1395, 6, 19)",2016-09-09,"(1437, 12, 8)",شهادت امام محمد باقر علیه السلام [٧ ذوالحجه],شهادت امام محمد باقر علیه السلام,h
154,"(1395, 6, 20)",2016-09-10,"(1437, 12, 9)",روز جهانی پیشگیری از خودکشی [۱۰ september],روز جهانی پیشگیری از خودکشی,g
155,"(1395, 6, 21)",2016-09-11,"(1437, 12, 10)",روز سینما,روز سینما,j
156,"(1395, 6, 21)",2016-09-11,"(1437, 12, 10)",روز عرفه [٩ ذوالحجه],روز عرفه,h
157,"(1395, 6, 21)",2016-09-11,"(1437, 12, 10)",حمله به برج‌های دوقلوی مرکز تجارت جهانی [۱۱ september],حمله به برج‌های دوقلوی مرکز تجارت جهانی,g
158,"(1395, 6, 22)",2016-09-12,"(1437, 12, 11)",عید سعید قربان [١٠ ذوالحجه],عید سعید قربان,h
159,"(1395, 6, 22)",2016-09-12,"(1437, 12, 11)",روز گرامیداشت برنامه نویسان [۱۲ september],روز گرامیداشت برنامه نویسان,g
160,"(1395, 6, 27)",2016-09-17,"(1437, 12, 16)",روز شعر و ادب پارسی و روز بزرگداشت استاد شهریار,روز شعر و ادب پارسی و روز بزرگداشت استاد شهریار,j
161,"(1395, 6, 27)",2016-09-17,"(1437, 12, 16)",ولادت امام علی النقی الهادی علیه السلام [١٥ ذوالحجه],ولادت امام علی النقی الهادی علیه السلام,h
162,"(1395, 6, 30)",2016-09-20,"(1437, 12, 19)",روز گفتگوی تمدنها,روز گفتگوی تمدنها,j
163,"(1395, 6, 30)",2016-09-20,"(1437, 12, 19)",عید سعید غدیر خم [١٨ ذوالحجه],عید سعید غدیر خم,h
164,"(1395, 6, 31)",2016-09-21,"(1437, 12, 20)",آغاز هفته دفاع مقدس,آغاز هفته دفاع مقدس,j
165,"(1395, 6, 31)",2016-09-21,"(1437, 12, 20)",روز جهانی صلح [۲۱ september],روز جهانی صلح,g
166,"(1395, 5, 6)",2016-07-27,"(1437, 10, 22)",امرداد روز ترویج آموزش‌های فنی و حرفه‌ای,امرداد روز ترویج آموزش‌های فنی و حرفه‌ای,j
167,"(1395, 5, 7)",2016-07-28,"(1437, 10, 23)",امرداد روز، جشن مردادگان,امرداد روز، جشن مردادگان,j
168,"(1395, 5, 8)",2016-07-29,"(1437, 10, 24)",امرداد روز بزرگداشت شیخ شهاب الدین سهروردی,امرداد روز بزرگداشت شیخ شهاب الدین سهروردی,j
169,"(1395, 5, 9)",2016-07-30,"(1437, 10, 25)",امرداد شهادت امام جعفر صادق علیه السلام [٢٥ شوال],امرداد شهادت امام جعفر صادق علیه السلام,h
170,"(1395, 5, 10)",2016-07-31,"(1437, 10, 26)",امرداد جشن چله تابستان,امرداد جشن چله تابستان,j
171,"(1395, 5, 11)",2016-08-01,"(1437, 10, 27)",امرداد آغاز هفته جهانی شیردهی [۱ august],امرداد آغاز هفته جهانی شیردهی,g
172,"(1395, 5, 14)",2016-08-04,"(1437, 11, 1)",امرداد صدور فرمان مشروطیت,امرداد صدور فرمان مشروطیت,j
173,"(1395, 5, 14)",2016-08-04,"(1437, 11, 1)",امرداد ولادت حضرت معصومه سلام الله علیها و روز دختران [١ ذوالقعده],امرداد ولادت حضرت معصومه سلام الله علیها و روز دختران,h
174,"(1395, 5, 17)",2016-08-07,"(1437, 11, 4)",امرداد روز خبرنگار,امرداد روز خبرنگار,j
175,"(1395, 5, 23)",2016-08-13,"(1437, 11, 10)",امرداد روز جهانی چپ دست‌ها [۱۳ august],امرداد روز جهانی چپ دست‌ها,g
176,"(1395, 5, 24)",2016-08-14,"(1437, 11, 11)",امرداد ولادت امام رضا علیه السلام [١١ ذوالقعده],امرداد ولادت امام رضا علیه السلام,h
177,"(1395, 5, 26)",2016-08-16,"(1437, 11, 13)",امرداد سالروز ورود آزادگان سرافراز به وطن,امرداد سالروز ورود آزادگان سرافراز به وطن,j
178,"(1395, 5, 28)",2016-08-18,"(1437, 11, 15)",امرداد سالروز وقایع ۲۸ و برکناری دکتر محمد مصدق,امرداد سالروز وقایع ۲۸ و برکناری دکتر محمد مصدق,j
179,"(1395, 5, 28)",2016-08-18,"(1437, 11, 15)",امرداد سالروز فاجعه آتش زدن سینما رکس آبادان,امرداد سالروز فاجعه آتش زدن سینما رکس آبادان,j
180,"(1395, 5, 29)",2016-08-19,"(1437, 11, 16)",امرداد روز جهانی عکاسی [۱۹ august],امرداد روز جهانی عکاسی,g
181,"(1395, 1, 1)",2016-03-20,"(1437, 6, 11)",جشن نوروز/جشن سال نو,جشن نوروز/جشن سال نو,j
182,"(1395, 1, 1)",2016-03-20,"(1437, 6, 11)",روز جهانی شادی [۲۰ march],روز جهانی شادی,g
183,"(1395, 1, 2)",2016-03-21,"(1437, 6, 12)",عیدنوروز,عیدنوروز,j
184,"(1395, 1, 3)",2016-03-22,"(1437, 6, 13)",عیدنوروز,عیدنوروز,j
185,"(1395, 1, 4)",2016-03-23,"(1437, 6, 14)",عیدنوروز,عیدنوروز,j
186,"(1395, 1, 6)",2016-03-25,"(1437, 6, 16)",روز امید، روز شادباش نویسی,روز امید، روز شادباش نویسی,j
